sex,graduation,education_form,langs,life_main,people_main,occupation_type,career_start,result
2,2012.0,Full-time,Русский;English,0,0,university,False,0
2,2011.0,Distance Learning,Русский,0,0,university,False,0
2,2012.0,Full-time,Русский,0,6,university,False,0
1,1989.0,Full-time,Русский,False,False,university,False,0
2,2008.0,Full-time,Русский,3,2,university,False,0
1,2009.0,,False,0,0,work,2010,1
1,2021.0,,Русский,0,0,university,2018,1
2,2014.0,Distance Learning,Русский,1,2,university,2010,0
1,2012.0,Full-time,False,0,0,work,2007,1
1,2018.0,Distance Learning,Русский,False,False,university,False,1
1,2011.0,Full-time,False,0,0,university,False,1
2,2007.0,Distance Learning,Русский,0,0,university,False,0
1,2010.0,Part-time,Русский,0,0,work,2007,1
2,2010.0,Full-time,False,False,False,university,False,0
2,2013.0,Full-time,Русский;English;Українська,6,2,university,False,0
2,2018.0,Distance Learning,False,0,0,university,False,0
2,2015.0,Part-time,Русский,0,2,university,False,0
2,2010.0,Full-time,False,False,False,university,False,0
2,2006.0,Full-time,Українська,5,2,university,2007,0
2,1986.0,Full-time,Русский,0,0,work,1980,0
2,2007.0,Distance Learning,Русский,False,False,university,False,0
2,2011.0,Full-time,False,0,0,work,2006,0
1,2014.0,Full-time,False,False,False,university,False,1
1,2012.0,Full-time,Русский,0,2,university,False,1
2,2005.0,Full-time,Русский,0,0,university,False,1
1,2007.0,Full-time,False,False,False,work,2008,1
2,2011.0,Distance Learning,Русский;Саха тыла,1,5,work,2007,0
2,2011.0,Distance Learning,Українська;Русский;English,6,2,work,2009,0
1,2006.0,Distance Learning,Русский,False,False,work,2000,1
2,2015.0,Full-time,Русский,1,5,university,False,1
1,2017.0,Full-time,False,0,0,university,False,1
2,2010.0,Full-time,Українська;Русский;English,0,0,work,2014,1
2,0.0,Full-time,Русский,1,2,university,False,0
2,1981.0,Full-time,Русский,False,False,university,1984,1
1,0.0,Full-time,Русский;English,False,False,university,False,1
2,2013.0,Full-time,Русский,6,0,university,False,0
1,2016.0,Full-time,Русский;Deutsch;English,False,2,university,False,1
1,2009.0,Full-time,Русский,0,0,work,2009,1
2,2014.0,Full-time,Русский,False,False,university,False,0
2,2011.0,Full-time,Русский,False,False,work,2007,1
2,2001.0,Full-time,False,0,0,university,False,0
2,2004.0,Distance Learning,Русский,1,5,university,False,0
1,0.0,Full-time,Русский,False,False,university,False,1
2,2016.0,Full-time,Беларуская (тарашкевiца);Русский;English,6,2,work,2015,0
1,2021.0,Full-time,Русский;English,1,2,university,False,1
1,2016.0,Distance Learning,Русский,0,0,university,False,1
2,2011.0,Full-time,Русский,False,False,university,False,0
2,2016.0,Full-time,English;Русский,0,0,university,False,0
1,2008.0,Full-time,Русский;English,1,0,university,False,1
2,1989.0,Full-time,Русский,6,1,university,False,1
1,1945.0,Full-time,Русский,0,0,university,False,1
2,1940.0,Distance Learning,False,6,0,university,False,0
2,2003.0,Full-time,Русский,0,0,university,2006,1
2,2009.0,Full-time,Русский;Татарча,0,0,,False,0
2,1999.0,Full-time,False,False,False,work,2002,1
2,2017.0,Full-time,False,7,5,university,False,0
1,2015.0,Full-time,Русский,0,0,work,False,1
2,2011.0,Full-time,Русский,0,0,university,False,0
1,2018.0,Full-time,False,1,2,work,False,1
1,2010.0,Full-time,Русский;English,1,2,work,False,1
2,2009.0,Distance Learning,Русский,5,6,university,False,1
2,0.0,Full-time,Русский;Башҡортса;English;Français,6,6,university,2013,1
1,2005.0,Full-time,Русский,False,False,university,False,1
2,0.0,Part-time,Русский,5,2,work,2017,0
1,2011.0,Distance Learning,Русский,0,0,work,2008,1
1,2015.0,Full-time,False,0,0,university,False,1
1,0.0,Full-time,Русский,0,0,university,False,1
1,2012.0,Full-time,Русский,1,2,,False,1
2,2014.0,Full-time,Русский;English;Українська,6,1,university,2007,0
1,2011.0,Full-time,Русский,1,2,university,2011,0
1,2009.0,Full-time,Русский,False,False,university,False,1
2,2009.0,Full-time,False,1,2,work,2009,0
1,2018.0,Full-time,Русский,False,False,university,False,1
1,0.0,Full-time,Русский,0,0,university,2003,1
2,2006.0,Full-time,Русский,6,3,university,False,0
1,2006.0,Distance Learning,False,False,False,university,False,1
2,2014.0,Full-time,False,0,0,university,False,1
2,0.0,Full-time,Русский,0,0,,False,0
2,2005.0,Full-time,False,False,False,university,False,0
1,2013.0,Distance Learning,False,0,0,university,False,1
1,2012.0,Full-time,False,False,False,university,False,1
2,2013.0,Full-time,Русский;English;Français,6,6,work,2012,1
2,2015.0,Full-time,False,6,6,work,2017,0
2,2014.0,Full-time,Русский,6,2,university,False,0
2,2011.0,,Українська;Русский;English,False,False,university,False,0
2,2011.0,Full-time,Русский,0,0,university,False,0
1,2013.0,Full-time,False,0,0,university,False,1
2,0.0,Full-time,Русский,False,False,work,1986,0
2,2009.0,Full-time,Русский,False,False,university,False,0
1,2007.0,Full-time,False,0,0,university,False,1
2,0.0,Full-time,False,0,0,university,2007,0
1,2012.0,Part-time,Русский,0,0,university,False,1
1,2000.0,Full-time,Русский,False,False,university,False,0
2,2010.0,Full-time,Українська,False,False,work,False,0
2,2015.0,Full-time,Русский,0,0,work,2018,0
2,2005.0,Full-time,Русский,1,2,work,2014,1
1,0.0,Distance Learning,Русский,1,2,university,False,1
2,2015.0,Distance Learning,Русский,1,2,university,2009,0
2,2011.0,Full-time,Русский,3,5,university,False,0
2,2003.0,Full-time,Русский,0,0,work,2003,0
2,2016.0,Full-time,Русский,1,2,university,False,0
1,2005.0,Full-time,Русский,1,2,work,2004,1
2,2008.0,Part-time,Русский,1,2,university,False,0
2,2007.0,Full-time,Русский,0,6,work,2004,0
2,2017.0,Full-time,Русский;English;Français,3,2,university,False,0
2,2000.0,Full-time,False,False,False,university,False,1
1,2009.0,Distance Learning,False,False,False,university,False,1
2,2014.0,Full-time,Абаза Бызшва,0,0,university,2013,0
2,2008.0,Full-time,Русский,0,0,university,False,0
1,2013.0,Distance Learning,Русский;Deutsch;English,0,6,university,False,1
1,2016.0,Full-time,False,6,2,university,False,1
1,2014.0,Full-time,False,1,6,work,2013,1
2,2007.0,,Русский;English;Чăвашла,1,2,work,2020,0
1,2011.0,Distance Learning,Русский,0,0,university,False,1
2,2015.0,Distance Learning,Русский,False,False,university,False,0
1,2013.0,Distance Learning,False,0,0,work,2011,1
2,2013.0,Full-time,Русский,False,False,university,False,0
2,2018.0,Full-time,Русский,3,0,work,1995,0
2,2007.0,Full-time,Русский,False,False,work,2007,1
1,2003.0,Part-time,False,False,False,university,False,1
1,2003.0,Full-time,Русский,False,False,work,2018,1
2,2007.0,Full-time,Русский,0,0,university,False,0
1,2012.0,Full-time,False,0,0,work,False,1
1,2021.0,,False,0,0,university,False,1
1,2011.0,Distance Learning,Русский,0,0,university,False,1
2,2011.0,Full-time,Русский,0,2,work,2001,1
1,0.0,Full-time,Русский,6,1,university,False,1
2,2011.0,Distance Learning,Русский,0,0,university,2010,0
2,2016.0,,Русский;English;Français;Svenska;हिन्दी;Словѣ́ньскъ,0,0,work,2004,1
1,2001.0,Full-time,Русский,0,0,university,2001,1
2,2005.0,Full-time,Русский,False,False,work,2007,0
2,2003.0,Full-time,Русский,0,0,university,2014,0
2,2014.0,Full-time,False,0,0,university,False,0
2,0.0,Full-time,Русский,2,False,university,False,0
1,2016.0,Full-time,False,0,0,work,2015,1
1,2015.0,Full-time,False,2,1,,False,1
2,0.0,Full-time,Русский;English;Español,0,0,university,False,1
1,2016.0,Full-time,Русский;English,6,1,work,2018,1
1,0.0,Full-time,False,False,False,,False,1
1,2012.0,,Русский,1,2,university,False,1
1,2002.0,Full-time,Русский,0,0,university,2002,1
2,2013.0,Full-time,Русский;English;Deutsch,0,0,university,False,0
1,2014.0,Full-time,Русский;English,6,6,work,2013,1
2,0.0,Distance Learning,Русский,6,5,work,False,0
1,2015.0,Distance Learning,Русский,6,2,university,False,1
2,2000.0,Distance Learning,Русский,False,False,university,False,0
1,0.0,Full-time,Русский;English,0,0,university,False,1
2,2011.0,Full-time,Русский;English;Deutsch;Лакку маз,1,2,university,False,1
2,2007.0,Full-time,Русский;Українська;English,0,0,work,2007,0
1,2014.0,Full-time,Русский;English;Italiano,0,0,university,False,1
2,2016.0,,Русский,0,0,university,False,0
2,2010.0,Full-time,Русский,1,0,university,False,0
2,2016.0,Distance Learning,Русский,0,0,university,False,1
1,2010.0,Full-time,Русский,0,0,work,2019,1
1,2010.0,Full-time,Русский,0,6,work,False,1
2,2015.0,Full-time,Русский;English,5,1,work,2015,1
2,2005.0,Full-time,Русский,0,0,university,False,0
1,2006.0,,Русский,0,0,work,False,1
1,0.0,Full-time,Русский,0,2,work,2018,1
2,2012.0,Full-time,Русский,0,0,university,False,0
1,0.0,Full-time,False,False,False,university,False,1
1,2000.0,Part-time,Русский,False,False,university,False,1
2,2005.0,Full-time,Русский,5,5,work,False,1
2,2016.0,Full-time,Русский;English,0,0,university,False,0
2,2016.0,Distance Learning,Русский,False,False,university,False,0
1,0.0,Full-time,Русский,False,False,work,2013,1
2,2017.0,Part-time,Русский,6,2,work,2015,0
1,2016.0,Full-time,Русский,1,2,university,False,1
2,2012.0,Full-time,Русский,1,2,university,False,0
2,2011.0,Full-time,Українська;Русский;English,0,2,university,False,0
2,2013.0,Distance Learning,Русский,0,0,university,False,0
1,2014.0,Full-time,False,0,0,university,False,1
2,2007.0,Full-time,Русский,False,False,university,False,0
1,2014.0,Full-time,False,False,False,university,False,1
1,1992.0,Full-time,Русский,6,2,university,False,1
2,2009.0,Full-time,Русский,1,5,work,2005,0
1,2014.0,Distance Learning,Русский,1,2,university,False,0
2,1977.0,Full-time,Русский,False,False,university,False,1
2,2009.0,Part-time,False,False,False,university,False,0
1,2013.0,Distance Learning,False,0,0,work,2015,1
1,2012.0,Part-time,Русский,False,False,university,False,1
1,0.0,,Русский,0,2,,False,1
2,2013.0,Distance Learning,Русский,0,0,work,False,0
2,2017.0,Part-time,Русский,6,5,university,False,0
2,0.0,,Русский;Deutsch;English;ภาษาไทย;Español,5,5,work,2020,1
2,2004.0,Full-time,Русский,0,0,university,False,0
1,2014.0,Full-time,Русский;English;Français,5,1,work,2016,0
2,2012.0,Full-time,Русский;English,6,2,university,False,1
1,2016.0,Full-time,Українська;Русский,False,2,university,False,1
1,2011.0,Full-time,False,0,0,university,False,1
1,2016.0,Full-time,Русский;English,0,2,work,2017,1
1,2010.0,,English;Русский,6,0,university,False,1
1,2010.0,,False,1,5,,False,1
2,2006.0,Full-time,Русский;English,False,False,university,False,0
1,0.0,Full-time,False,0,0,university,False,1
2,2021.0,Full-time,Русский;English,0,0,university,2019,0
2,2007.0,Full-time,Русский;Українська;Polski,6,2,work,2008,0
1,0.0,Full-time,Русский,False,False,work,False,1
2,2001.0,Full-time,Русский,6,2,university,False,0
2,2006.0,Full-time,Русский,1,2,university,False,0
1,2013.0,Full-time,False,0,0,university,False,1
1,1993.0,Full-time,Русский;English,4,2,work,2008,1
1,2019.0,Full-time,False,0,0,work,False,1
1,2007.0,Distance Learning,False,False,False,university,False,1
1,2004.0,,Русский,False,False,university,False,1
2,2006.0,Full-time,Русский,False,False,university,False,0
1,2012.0,Full-time,Русский;English,0,2,,False,1
